Timestamp,Gender,Where are you based?,"Where do you mainly conduct your research (i.e., where do you do fieldwork/get your samples from)?",What is your main field of research (please choose maximum 2)?,What is your current position?,What software for data and statistical analysis do you use in your research (tick all applicable)?,What software do you use for writing (tick all applicable)?,What software do you use for data visualisation (tick all applicable)?,"If you kNow and/or use open access repositories, can you briefly tell us which?",Have you published any paper/s (Not necessarily phytolith-related and Not necessarily as first author)?,Would you like to publish gold open access?,In what case would you consider publishing gold open access?,Why do you think you will Not publish gold open access?,Will you consider publishing pre-prints of your work?,Do you kNow which pre-print server you are most likely to use?,Can you tell us which and why you think it is most appropriate?,Can you tell us why?,8. Have you published your work using gold open access?,Why did you choose to publish gold open access?,Why have you never published gold open access?,Have you published a pre-print version of your papers?,Give us an assessment (1 = only once; 5 = all my papers),How did you choose which pre-print server you published with?,Can you tell us why?,How do you Normally describe the methods in your papers?,Do you generally consider that your methods are replicable?,How many papers that include new phytolith data have you published?,"How many of your published papers (as a percentage of your total papers) contain raw data, either in the paper itself, in supplementary files or deposited in open access repositories?",How did you publish your raw data (check all that apply)?,If you have never published raw data can you tell us why?,"Would you be interested in receiving some sort of recognition for producing open phytolith data and papers (for example, getting an Open Badge)?",Would you be interested in kNowing more about open data possibilities for phytolith researchers?,"What would be your preferred method to be kept informed about phytolith open data (news, results, campaigns, etc.)?",Would you be willing to contribute to our community effort to improve data sharing in phytolith research?,,,
2021/08/05 9:54:52 pm CET,Male,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.)",Senior researcher (tenured),Microsoft Excel;R;SPSS,Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R;Tilia",,Yes,,,,,,,,No,,I did Not kNow this possibility existed,Yes,3,,,I only reference published methods;I only describe things that deviate from published procedures;I describe everything in detail,Yes,01-May,3,As table in the main text;As supplementary file;In an institutional repository,,"Yes, and it will definitely be an incentive to be more open",Yes,Email,"No - Thank you for your time, the survey ends here!",,,
2021/08/09 9:23:52 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.)",Senior researcher (tenured),"Google Sheet;Microsoft Excel;SPSS;Systat, Stata",Google Docs;Microsoft Word,Illustrator,,Yes,,,,,,,,No,,I did Not kNow this possibility existed,No,,,This is a new idea for me,depends on the paper and the venue to which I submit,Yes,01-May,4,"As table in the main text;As supplementary file;In a personal repository (e.g., GitHub, personal webpage, etc.)",,"I am Not sure, I should learn more about Open Badges",Yes,Email,"No - Thank you for your time, the survey ends here!",,,
2021/08/10 4:46:58 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior postdoc (7 to 12 years from PhD),Microsoft Excel;R;PAST,Microsoft Word,C2,,Yes,,,,,,,,Yes,"It was required to by the funding body;It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,No,,,I have Not done it so far but I am planning to with my next papers,A mixture of the above - if I´ve deviated from a published method I´ll explain how and why,Yes,More than 5,1,As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/08/26 4:35:30 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",PhD candidate,Google Sheet;Microsoft Excel,Google Docs;Microsoft Word;Open/Libre Office writer,"""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,I would have liked to but had No money to pay for APCs,No,,,I have Not done it so far but I am planning to with my next papers,"I only reference published methods;I publish them in a methods repository (e.g., protocols.io)",Yes,01-May,5,As table in the main text,,"Yes, and it will definitely be an incentive to be more open",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/09/07 5:43:29 pm CET,Female,Americas,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Junior postdoc (up to 7 years from PhD),Microsoft Excel;R,Google Docs;Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R",,Yes,,,,,,,,No,,"I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I am afraid of plagiarism;I do Not think Non-peer-reviewed research should be treated as scientific evidence,I only describe things that deviate from published procedures,Yes,01-May,5,As table in the main text;As supplementary file,,"Yes, and it will definitely be an incentive to be more open",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/09/07 5:50:55 pm CET,Female,Americas,Americas,Palaeoenvironment;Palaeontology,Senior researcher (tenured),Microsoft Excel;R,Google Docs;Microsoft Word,Illustrator;R,"GitHub, BioRXiv",Yes,,,,,,,,No,,"I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",Yes,2,Discussed with co-authors who have more experience (b/c they're in a different discipline),,"Hybrid: I describe the method (all steps, but Not in great detail) but also reference published papers",Yes,More than 5,2,As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/09/07 8:14:30 pm CET,Female,Europe,Africa;Asia;Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",Junior postdoc (up to 7 years from PhD),Microsoft Excel,Google Docs;LaTex;Microsoft Word,"Grapher;Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);Inkscape",PANGAEA,Yes,,,,,,,,Yes,"It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,Yes,1,the journal (publisher) did by publish the pre-print as part of the review process,,I only reference published methods;I only describe things that deviate from published procedures,Yes,01-May,1,As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Facebook;Instagram,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/09/08 4:25:56 am CET,Female,Australia and the Pacific,Australia and the Pacific,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",PhD candidate,Microsoft Excel;R;PAST; Tilia,Google Docs;Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);Tilia",for older articles mainly,No,Yes,Only if a co-author or one of the involved institutions facilitates it,,Yes,No,,,,,,,,,,,,,,,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/09/10 12:30:12 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior researcher (tenured),Google Sheet;Microsoft Excel;R;SPSS,Google Docs;Microsoft Word,"C2;Grapher;Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R","Yes, OpenDOAR and Open Aire.",Yes,,,,,,,,Yes,"It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,No,,,I have Not done it so far but I am planning to with my next papers,I only reference published methods,Yes,01-May,1,As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/09/10 12:32:57 pm CET,Female,Europe,Asia;Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment;PalyNology (maybe it was included in Palaeoenvironment...)",Junior postdoc (up to 7 years from PhD),"Microsoft Excel;Open/Libre Office spreadsheet;CAPCA (Excel add in), PAST",Google Docs;Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);Tilia;CountPol (free software for counting and drawing adapted from palyNology)",,Yes,,,,,,,,Yes,"It was required to by the funding body;I planned for it as part of the project (you budgeted for this);It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,No,,,I have Not done it so far but I am planning to with my next papers,I only describe things that deviate from published procedures;I describe everything in detail,"Generally Yes, apart for the way the software to plot diagrams works (but I specify what is used for what, so one can apply it to aNother software)..",01-May,4,As table in the main text;As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email;IPS website,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/09/10 12:55:31 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Junior postdoc (up to 7 years from PhD),Google Sheet;Microsoft Excel,Google Docs;Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)","suquia, sedici... and gbif portal",Yes,,,,,,,,No,,I would have liked to but had No money to pay for APCs,No,,,I am afraid of plagiarism,I only reference published methods;I only describe things that deviate from published procedures;I describe everything in detail,Yes,More than 5,3,As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Twitter;Facebook;Instagram,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/09/15 2:29:36 am CET,Female,Australia and the Pacific,Africa;Asia;Australia and the Pacific,Palaeoenvironment;Palaeontology,PhD candidate,Microsoft Excel,Microsoft Word,"C2;Illustrator;""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,I did Not kNow this possibility existed,No,,,I do Not think Non-peer-reviewed research should be treated as scientific evidence,I only reference published methods;I only describe things that deviate from published procedures,Yes,01-May,3,As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Twitter,"No - Thank you for your time, the survey ends here!",,,
2021/09/27 5:59:23 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior researcher (tenured),Google Sheet;Microsoft Excel,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint);Tilia",,Yes,,,,,,,,No,,"I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",Yes,1,Through my co-author.,,I describe many things in detail and also reference published methods.,Yes,More than 5,4,As table in the main text;As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/11 6:21:56 pm CET,Female,Europe,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.);Palaeoenvironment",PhD candidate,Microsoft Excel,Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,"I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower);The journal did Not offer this possibility;I do Not think it is worth paying for this option;I do Not think gold open access is an ethical choice",No,,,I am afraid of plagiarism;My co-authors did Not agree,I only reference published methods;I only describe things that deviate from published procedures;I describe everything in detail;depends on the research,Yes,None,0,"In a general repository (e.g., ZeNodo, Open Science Framework, etc.);Not applicable",,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/11 8:16:15 pm CET,Male,Asia,Asia,"Botany (and related disciplines: Plant physiology, Crop breeding, etc.);Palaeoenvironment",Senior researcher (tenured),CANoCO;Microsoft Excel;SPSS,Microsoft Word,"C2;""Office"" graphics (e.g. Excel or PowerPoint);Tilia",,Yes,,,,,,,,No,,"I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I do Not think it is useful,I only describe things that deviate from published procedures,Yes,More than 5,5,As table in the main text;As supplementary file;In an institutional repository,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Facebook,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/11 8:50:24 pm CET,Female,Asia,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",MA Graduate,R;Microsoft Access,LaTex;Microsoft Word,Illustrator;R,,No,No,,I don't think I will publish gold but I intend to publish green open access;I would liked to but it will be hard to find money to pay for APCs;I do Not think it is worth paying for this option,Yes,No,,,,,,,,,,,,,,,,"Yes, and it will definitely be an incentive to be more open",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/11 9:07:17 pm CET,Male,Americas,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Junior postdoc (up to 7 years from PhD),Google Sheet;Microsoft Excel;R;SPSS,Google Docs;Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R",,Yes,,,,,,,,Yes,"It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,Yes,4,Ease of access.,,I only reference published methods;I only describe things that deviate from published procedures,Yes,01-May,5,"As supplementary file;In an institutional repository;In a general repository (e.g., ZeNodo, Open Science Framework, etc.);In a personal repository (e.g., GitHub, personal webpage, etc.)",,"Yes, but it will Not make me change my present way of working (i.e., I will Not produce more open work)",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/12 10:09:23 pm CET,Male,Africa,Africa,"Botany (and related disciplines: Plant physiology, Crop breeding, etc.)",PhD candidate,Microsoft Excel;SPSS,Google Docs;Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,I did Not kNow this possibility existed,Yes,1,,,I describe everything in detail,No,01-May,2,As table in the main text;As supplementary file,,"Yes, and it will definitely be an incentive to be more open",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/13 5:58:03 am CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",PhD candidate,Google Sheet;Microsoft Excel,Google Docs;Microsoft Word,"C2;Illustrator;""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,"I have Not published gold so far but I did publish green open access;I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower);I did Not kNow this possibility existed",No,,,I do Not think it is useful;I do Not think Non-peer-reviewed research should be treated as scientific evidence,I only reference published methods;I only describe things that deviate from published procedures;I describe everything in detail,Yes,None,0,Not applicable,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Instagram,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/13 1:56:31 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.)",Junior postdoc (up to 7 years from PhD),Microsoft Excel;SPSS,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",Suquía - Repositorio Digital del Programa de Arqueología Digital,Yes,,,,,,,,No,,"I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I do Not think Non-peer-reviewed research should be treated as scientific evidence,I describe everything in detail,Yes,01-May,0,As table in the main text,,"Yes, and it will definitely be an incentive to be more open",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/13 8:58:38 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior postdoc (7 to 12 years from PhD),Microsoft Excel,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",PhytCore DB. 2016. Phytolith online database. http://phytcore.org/phytolith/ index.php?rdm=yTOKp2eCSk&action=home,Yes,,,,,,,,No,,I would have liked to but had No money to pay for APCs,Yes,3,I do Not decide. The journal decides and I accept,,I describe everything in detail,Yes,None,5,As table in the main text,,"I am Not sure, I should learn more about Open Badges",Yes,Email,"No - Thank you for your time, the survey ends here!",,,
2021/10/14 8:10:47 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Microfossils characterization in plants as reference material",Senior researcher (tenured),Microsoft Excel,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,"I have Not published gold so far but I did publish green open access;I would have liked to but had No money to pay for APCs;I do Not think gold open access is an ethical choice;This possibility makes a resounding difference in the visibility of the production of those who can pay to publish with open access and those who canNot pay. Also, generally those who canNot pay to publish that way canNot access Non-free / open access publications either.",Yes,2,I did Not choose but my co-authors who belong to the field of biological sciences did,,any of the first three options depending on the space of the journal (number of words in the article) and the type of journal,Yes,More than 5,2,As table in the main text;As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/15 10:45:41 am CET,Female,Asia,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",university student,R;STATA,Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R",GitHub,No,Yes,I will try to find funding to pay the processing fees,,Yes,No,,,,,,,,,,,,,,,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/17 11:51:11 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior postdoc (7 to 12 years from PhD),Microsoft Excel,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",SUQUIA,Yes,,,,,,,,No,,I would have liked to but had No money to pay for APCs,No,,,I do Not think it is useful,I only describe things that deviate from published procedures,Yes,More than 5,4,As table in the main text,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/18 10:28:04 am CET,Female,Europe,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",PhD candidate,Microsoft Excel,Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);Tilia",,No,No,,I did Not kNow this possibility existed,No,,,I think it is too much work;I do Not kNow what pre-prints are and how to publish one,No,,I did Not kNow this possibility existed,No,,,I think it is too much work,I only describe things that deviate from published procedures,Yes,None,0,Not applicable,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Instagram,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/27 4:22:14 am CET,Male,Asia,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.);Palaeoenvironment;Palaeontology",Junior postdoc (up to 7 years from PhD),Microsoft Excel;Open/Libre Office spreadsheet;SPSS,Microsoft Word;Open/Libre Office writer,C2;R;Tilia;Origin,Noaa,Yes,,,,,,,,Yes,I planned for it as part of the project (you budgeted for this),,No,,,My co-authors did Not agree,I describe everything in detail,Yes,More than 5,5,As table in the main text;As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/10/27 5:07:40 pm CET,Male,Asia,Asia,Geochemistry;Palaeoenvironment;Palaeontology,PhD candidate,Microsoft Excel;R;SPSS,Microsoft Word,"Grapher;Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R;Tilia;Coraldraw",,Yes,,,,,,,,Yes,"It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,No,,,I have Not done it so far but I am planning to with my next papers,I only describe things that deviate from published procedures,Yes,None,0,Not applicable,,"Yes, and it will definitely be an incentive to be more open",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/04 6:37:03 pm CET,Female,Europe,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",PhD candidate,Microsoft Excel;R;PAST,Microsoft Word,R;Tilia,,No,Yes,I will try to find funding to pay the processing fees,,Yes,No,,,,,,,,,,,,,,,,"Yes, and it will definitely be an incentive to be more open",Yes,Email;Twitter,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/08 10:54:46 am CET,Female,Europe,Americas;Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior researcher (tenured),Microsoft Excel,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint);Tilia","Archaeology Data Service, university repository",Yes,,,,,,,,Yes,"It was required to by the funding body;I planned for it as part of the project (you budgeted for this);It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,Yes,2,Seemed to be the most relevent for the topic of the papers,,I describe everything in detail,Yes,01-May,2,As table in the main text;As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/09 2:30:25 am CET,Female,Australia and the Pacific,Asia;Australia and the Pacific;Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior researcher (untenured),Microsoft Excel;SPSS,Google Docs;Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,I have Not published gold so far but I did publish green open access;I would have liked to but had No money to pay for APCs;The journal did Not offer this possibility,No,,,My co-authors did Not agree;I do Not think Non-peer-reviewed research should be treated as scientific evidence,I describe everything in detail,Yes,More than 5,3,As supplementary file,,"No, I do Not think it is something that interests me at all",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/11 5:04:10 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",Junior postdoc (up to 7 years from PhD),Microsoft Excel;R,Microsoft Word,C2;Tilia,I use to open acess repositories to references,Yes,,,,,,,,No,,I would have liked to but had No money to pay for APCs,Yes,3,,,I describe everything in detail,Yes,01-May,2,As table in the main text,,"Yes, and it will definitely be an incentive to be more open",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/12 4:15:46 pm CET,Female,Africa,Africa,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",Junior postdoc (up to 7 years from PhD),Microsoft Excel;PAST,Microsoft Word,C2,academia.edu,Yes,,,,,,,,No,,"I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I always go with the flow of the Journal,I describe everything in detail,Yes,01-May,0,Not applicable,,"I am happy to produce open phytolith data, but I would Not want recognition for it.",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/16 2:15:14 pm CET,Female,Americas,Americas,"Botany (and related disciplines: Plant physiology, Crop breeding, etc.);palaeobotany, plant anatomy, plant systematics",Senior researcher (tenured),"Microsoft Excel;R;pc ord, statistica",Microsoft Word,"C2;""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,"I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I do Not think it is useful;I think it is too much work,"it depends on the journal, but I usually try to explain as much as possible",Yes,More than 5,4,As table in the main text;As supplementary file,,"No, I do Not think it is something that interests me at all",Yes,Email,"No - Thank you for your time, the survey ends here!",,,
2021/11/18 3:47:13 pm CET,Female,Americas,Americas,AgroNomy,PhD candidate,Microsoft Excel;Infostat,Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,I would have liked to but had No money to pay for APCs,Yes,1,,,I only reference published methods;I describe everything in detail,Yes,01-May,0,As table in the main text;As supplementary file;In an institutional repository,,"I am Not sure, I should learn more about Open Badges",Maybe,Email,"No - Thank you for your time, the survey ends here!",,,
2021/11/22 11:21:15 pm CET,Female,Americas,Americas,Palaeoenvironment;Palaeontology,Junior postdoc (up to 7 years from PhD),Microsoft Excel;InfoStat,Google Docs;Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint);Corel draw",,Yes,,,,,,,,No,,"I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I have Not done it so far but I am planning to with my next papers,I describe everything in detail,Yes,01-May,1,As supplementary file,,"I am Not sure, I should learn more about Open Badges",Maybe,Email;Instagram,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/25 8:21:24 am CET,Male,Europe,Americas;Australia and the Pacific,"Botany (and related disciplines: Plant physiology, Crop breeding, etc.);Geochemistry",Junior postdoc (up to 7 years from PhD),Microsoft Excel;R,Microsoft Word,Illustrator;R,,Yes,,,,,,,,No,,I did Not kNow this possibility existed;The journal did Not offer this possibility,No,,,I have Not done it so far but I am planning to with my next papers,I describe everything in detail,Yes,More than 5,1,"As supplementary file;In a general repository (e.g., ZeNodo, Open Science Framework, etc.)",,"Yes, but it will Not make me change my present way of working (i.e., I will Not produce more open work)",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/25 2:54:39 pm CET,Female,Europe,Africa,Palaeoenvironment,Senior postdoc (7 to 12 years from PhD),R,Google Docs;Microsoft Word,Illustrator;R,"Dryad, Global Paleofire Database",Yes,,,,,,,,No,,"I have Not published gold so far but I did publish green open access;I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I have Not done it so far but I am planning to with my next papers,I describe everything in detail,Yes,01-May,2,"As supplementary file;In a subject-base online repository (e.g., Pangaea, Neotoma, etc.);In a personal repository (e.g., GitHub, personal webpage, etc.)",,"Yes, and it will definitely be an incentive to be more open",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/26 4:09:46 am CET,Male,Asia,Asia,"Botany (and related disciplines: Plant physiology, Crop breeding, etc.);Palaeoenvironment",Senior researcher (tenured),CANoCO;Google Sheet;Microsoft Excel;R;SPSS,Google Docs;Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint);R",,Yes,,,,,,,,No,,I have Not published gold so far but I did publish green open access,No,,,I have Not done it so far but I am planning to with my next papers,"I describe everything in detail;I publish them in a methods repository (e.g., protocols.io)",Yes,01-May,1,As table in the main text;As supplementary file,,"I am Not sure, I should learn more about Open Badges",Maybe,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/26 7:05:11 am CET,Male,Asia,Asia,Palaeoenvironment,Junior postdoc (up to 7 years from PhD),CANoCO;Microsoft Excel;R,Microsoft Word,C2;R;Tilia,PANGAEA,Yes,,,,,,,,No,,"I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I do Not think Non-peer-reviewed research should be treated as scientific evidence,I only reference published methods,Yes,01-May,0,As supplementary file;Not applicable,,"Yes, and it will definitely be an incentive to be more open",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/11/29 11:51:49 am CET,Male,Europe,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.);Palaeoenvironment",Junior postdoc (up to 7 years from PhD),Microsoft Excel;PAleontological STatistics,Microsoft Word;Open/Libre Office writer,Illustrator,,Yes,,,,,,,,No,,"I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",Yes,5,national open server,,I describe everything in detail,Yes,01-May,5,As table in the main text;As supplementary file,,"No, I do Not think it is something that interests me at all",Maybe,"Email;institutional or assiociative maillist, laboratory website, ect...","No - Thank you for your time, the survey ends here!",,,
2021/11/29 7:24:58 pm CET,Male,Americas,Americas,"Botany (and related disciplines: Plant physiology, Crop breeding, etc.)",Junior postdoc (up to 7 years from PhD),Microsoft Excel;Open/Libre Office spreadsheet,Google Docs;Microsoft Word;Open/Libre Office writer,"Grapher;""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,I would have liked to but had No money to pay for APCs,No,,,My co-authors did Not agree,I describe everything in detail,Yes,01-May,0,As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Twitter;Facebook,Yes - Follow-up questions (Not fully aNonymous)!,,,
